dataset,filename,psnr,ssim,lpips,niqe
FoggyCityscapes,FoggyCityscapes__4000.png,18.128217963000953,0.684923013051351,0.1682858020067215,7.525854050387623
FoggyCityscapes,FoggyCityscapes__4001.png,18.352916521821786,0.6177636782328287,0.2259669005870819,6.592587542183245
FoggyCityscapes,FoggyCityscapes__4002.png,13.107001665973923,0.4757743179798126,0.39693483710289,6.621712819496304
FoggyCityscapes,FoggyCityscapes__4003.png,14.572719536937706,0.5356571078300476,0.278729647397995,6.343660892139535
FoggyCityscapes,FoggyCityscapes__4004.png,20.095121642796833,0.6933048764864603,0.17569506168365479,8.01084910410215
FoggyCityscapes,FoggyCityscapes__4005.png,20.81659647501722,0.7263092796007792,0.16424453258514404,7.8761388627399755
FoggyCityscapes,FoggyCityscapes__4006.png,15.439566171255422,0.5404898921648661,0.27366259694099426,7.229372232685985
FoggyCityscapes,FoggyCityscapes__4007.png,22.868083914004565,0.6744827032089233,0.18407513201236725,6.200569253542245
FoggyCityscapes,FoggyCityscapes__4008.png,17.496864101278145,0.6324591636657715,0.20990432798862457,6.813770125022137
FoggyCityscapes,FoggyCityscapes__4009.png,9.830625212958745,0.3828491469224294,0.5408336520195007,6.554656875466249
FoggyCityscapes,FoggyCityscapes__4010.png,24.11217431247311,0.7221159934997559,0.1320890337228775,7.232296205376201
FoggyCityscapes,FoggyCityscapes__4011.png,10.304481607023849,0.3787779410680135,0.4376746416091919,5.729401705429673
FoggyCityscapes,FoggyCityscapes__4012.png,20.828884697817728,0.6337785919507345,0.21312588453292847,9.169219702493315
FoggyCityscapes,FoggyCityscapes__4013.png,11.395929226616936,0.49735406041145325,0.3577006459236145,7.072326649791301
FoggyCityscapes,FoggyCityscapes__4014.png,18.605053335451128,0.7069109678268433,0.1948835849761963,6.974452821970517
FoggyCityscapes,FoggyCityscapes__4015.png,13.078329545592126,0.5255366762479147,0.3614756166934967,6.677723163135169
LowLightTrafficData,LowLightTrafficData__161.png,13.841154255369865,0.3844514588514964,0.4226030707359314,6.209824578610889
LowLightTrafficData,LowLightTrafficData__162.png,8.22718522995748,0.19328466057777405,0.7678009271621704,11.187436978601424
LowLightTrafficData,LowLightTrafficData__163.png,7.771021823446512,0.17711217204729715,0.6047165393829346,6.312109712178037
LowLightTrafficData,LowLightTrafficData__164.png,11.775897038689536,0.3439098298549652,0.45963892340660095,8.267135108672305
LowLightTrafficData,LowLightTrafficData__165.png,14.270093254501763,0.524856170018514,0.330437570810318,6.171665743474209
LowLightTrafficData,LowLightTrafficData__166.png,14.896749451070095,0.42301319042841595,0.431729257106781,10.750701320830219
LowLightTrafficData,LowLightTrafficData__167.png,8.442197183342003,0.2441082000732422,0.6112020611763,7.475409414509682
LowLightTrafficData,LowLightTrafficData__168.png,9.575033612173433,0.3266647756099701,0.5284822583198547,6.263959764495259
LowLightTrafficData,LowLightTrafficData__169.png,12.41632667937238,0.23768854637940726,0.6551612019538879,6.829033877047812
LowLightTrafficData,LowLightTrafficData__170.png,7.708019478293576,0.1385179211695989,0.7025740146636963,11.44441478336605
LowLightTrafficData,LowLightTrafficData__171.png,12.376746031438824,0.32360636194547016,0.43092185258865356,7.513622853590827
LowLightTrafficData,LowLightTrafficData__172.png,8.527928424409271,0.25210386017958325,0.6493538022041321,6.737330577110696
LowLightTrafficData,LowLightTrafficData__173.png,13.993839815400902,0.3335478703180949,0.5154167413711548,6.888538495892911
LowLightTrafficData,LowLightTrafficData__174.png,16.219946883894817,0.49571555852890015,0.3669483959674835,6.048105041734109
LowLightTrafficData,LowLightTrafficData__175.png,9.913939993662142,0.320374737183253,0.69402015209198,8.235588915109886
LowLightTrafficData,LowLightTrafficData__176.png,10.308036061881653,0.3820962607860565,0.5250362157821655,5.459756710108337
RainCityscapes,RainCityscapes__0613.png,21.457714386905575,0.6960257291793823,0.21754954755306244,6.603544852828076
RainCityscapes,RainCityscapes__0614.png,22.64042730407537,0.7290897170702616,0.14823193848133087,7.942399101681933
RainCityscapes,RainCityscapes__0615.png,23.27032638068423,0.7360259095827738,0.14909106492996216,5.495438811137974
