dataset,filename,psnr,ssim,lpips,niqe
FoggyCityscapes,FoggyCityscapes__4000.png,19.60080607010124,0.6866694490114847,0.17453794181346893,6.288808445038057
FoggyCityscapes,FoggyCityscapes__4001.png,19.34663292011895,0.6075121760368347,0.21756784617900848,5.976945025473928
FoggyCityscapes,FoggyCityscapes__4002.png,12.203632371596848,0.4810040096441905,0.4159352481365204,6.122198246192924
FoggyCityscapes,FoggyCityscapes__4003.png,14.60344882035157,0.5203229586283366,0.3252659738063812,6.374418203649983
FoggyCityscapes,FoggyCityscapes__4004.png,20.08365969336058,0.654522160689036,0.16080427169799805,6.29043012513873
FoggyCityscapes,FoggyCityscapes__4005.png,22.389121219911434,0.718251903851827,0.1678449660539627,4.563347243394648
FoggyCityscapes,FoggyCityscapes__4006.png,14.435146019718738,0.5247567097345988,0.32803741097450256,5.255155556360491
FoggyCityscapes,FoggyCityscapes__4007.png,19.39443816133815,0.5958548585573832,0.21036501228809357,5.9168589615373595
FoggyCityscapes,FoggyCityscapes__4008.png,18.72733850033952,0.6276448766390482,0.22203326225280762,5.997403847643984
FoggyCityscapes,FoggyCityscapes__4009.png,15.974545263784277,0.5712758700052897,0.2374309003353119,5.89627872903234
FoggyCityscapes,FoggyCityscapes__4010.png,20.578749655533176,0.6676425536473592,0.16699104011058807,6.648705262296092
FoggyCityscapes,FoggyCityscapes__4011.png,17.37504208422381,0.5810178518295288,0.21590998768806458,4.225122281739867
FoggyCityscapes,FoggyCityscapes__4012.png,19.670193144708882,0.5975050926208496,0.22207626700401306,6.192848079380541
FoggyCityscapes,FoggyCityscapes__4013.png,10.550369406207082,0.4273594319820404,0.4608418047428131,5.484267926727776
FoggyCityscapes,FoggyCityscapes__4014.png,17.51972494514292,0.6484363873799642,0.2664744257926941,6.164398379928677
FoggyCityscapes,FoggyCityscapes__4015.png,18.72664397373908,0.6500105857849121,0.19888988137245178,5.813283408825734
LowLightTrafficData,LowLightTrafficData__161.png,16.857158586631474,0.44377994537353516,0.38677912950515747,8.339128772728786
LowLightTrafficData,LowLightTrafficData__162.png,8.75695440584545,0.2106581230958303,0.7421819567680359,8.567869886321304
LowLightTrafficData,LowLightTrafficData__163.png,8.684105006720753,0.18065084020296732,0.6380261182785034,7.86208676207517
LowLightTrafficData,LowLightTrafficData__164.png,12.753308652343884,0.3568131724993388,0.3907543420791626,6.55295378211323
LowLightTrafficData,LowLightTrafficData__165.png,12.702041986661667,0.47690361738204956,0.3477352559566498,5.218576723832687
LowLightTrafficData,LowLightTrafficData__166.png,14.78728225479034,0.3839821517467499,0.3973242938518524,7.077364003403417
LowLightTrafficData,LowLightTrafficData__167.png,15.984224275262818,0.4711184501647949,0.2711641192436218,6.377650441011313
LowLightTrafficData,LowLightTrafficData__168.png,7.721051396979987,0.20949936409791312,0.48404210805892944,7.899024669562915
LowLightTrafficData,LowLightTrafficData__169.png,18.285970803633187,0.4069788654645284,0.512703001499176,9.275574218248412
LowLightTrafficData,LowLightTrafficData__170.png,9.131038393131195,0.15242105722427368,0.6259382367134094,6.06200821722102
LowLightTrafficData,LowLightTrafficData__171.png,16.440196773577703,0.5261166294415792,0.2917802929878235,7.887546846337456
LowLightTrafficData,LowLightTrafficData__172.png,7.567385093528629,0.21388202905654907,0.6524508595466614,6.199084328389821
LowLightTrafficData,LowLightTrafficData__173.png,16.233202965597446,0.380715936422348,0.49359413981437683,6.409548941629366
LowLightTrafficData,LowLightTrafficData__174.png,18.29231655657735,0.6292923291524252,0.3307076096534729,7.917516956559945
LowLightTrafficData,LowLightTrafficData__175.png,8.990416591282134,0.3186441163221995,0.6804383993148804,6.712407856625617
LowLightTrafficData,LowLightTrafficData__176.png,15.967999057415119,0.6399406592051188,0.32693779468536377,8.15147806943267
RainCityscapes,RainCityscapes__0613.png,22.630371248496793,0.6849931478500366,0.1813928782939911,5.108820428564668
RainCityscapes,RainCityscapes__0614.png,23.651626829197973,0.7205701669057211,0.13170215487480164,5.605420032028685
RainCityscapes,RainCityscapes__0615.png,21.777073824518382,0.7100143432617188,0.12341869622468948,5.0504212086234075
RainCityscapes,RainCityscapes__0616.png,24.19714506912285,0.7478318015734354,0.10023336857557297,5.491060699631284
RainCityscapes,RainCityscapes__0617.png,20.72530578925155,0.6531500021616617,0.16816841065883636,7.321433168212175
RainCityscapes,RainCityscapes__0618.png,22.839273566323794,0.6731187701225281,0.14975205063819885,5.890440114090043
RainCityscapes,RainCityscapes__0619.png,21.509275374418188,0.673474113146464,0.17698334157466888,6.6108057400435465
RainCityscapes,RainCityscapes__0620.png,23.03498886634623,0.7366505861282349,0.1300167292356491,4.822982784539776
RainCityscapes,RainCityscapes__0621.png,25.086226371394368,0.760743260383606,0.12599751353263855,6.055465673649467
RainCityscapes,RainCityscapes__0622.png,20.269472439561675,0.6923031012217203,0.16613109409809113,5.903764291406984
RainCityscapes,RainCityscapes__0623.png,21.710921760210994,0.6397958993911743,0.16052059829235077,6.360469173639094
RainCityscapes,RainCityscapes__0624.png,27.60944946665831,0.8306768735249838,0.060119278728961945,6.1693434225355706
RainCityscapes,RainCityscapes__0625.png,22.485730025246742,0.7222408652305603,0.1467895805835724,5.2349495767272405
RainCityscapes,RainCityscapes__0626.png,23.23039026699466,0.7440180778503418,0.12040960043668747,5.156856476434332
RainCityscapes,RainCityscapes__0627.png,21.77363636393264,0.7194390098253886,0.13401034474372864,5.770092275591165
RainCityscapes,RainCityscapes__0628.png,27.108825666025375,0.7989856402079264,0.06711847335100174,4.684218644387571
RSCityscapes,RSCityscapes__0613.png,20.67962155803481,0.564618190129598,0.3065420091152191,6.3214045811392685
RSCityscapes,RSCityscapes__0614.png,20.026252424123456,0.5514196952184042,0.2831100821495056,6.066053654062378
RSCityscapes,RSCityscapes__0615.png,22.64605280040768,0.6137329339981079,0.2734110653400421,4.891306857434157
RSCityscapes,RSCityscapes__0616.png,21.287675530657527,0.6271471778551737,0.22926431894302368,4.6434370666244735
RSCityscapes,RSCityscapes__0617.png,21.23007692142247,0.5751507679621378,0.26949018239974976,5.594427028322851
