protocol_id,domain,stem,bridge_time_index,bridge_time_value,single_epoch,reciprocal_KDD,reciprocal_KDD_M16,aio_anchor_deflection,single_anchor_deflection,proposal_floor,proposal_floor_M16,aio_checkpoint_sha256,single_checkpoint_sha256,image_sha256,proposal_seed,rollout_seed,M,target_content_read
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1921,2,0.74,1,1.1098703181846865,1.1098807023670278,1.3786678620243575,0.8410727743450153,2.2578376612791832e-08,4.423275501430624e-08,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,111b44a5b3c4fe12b5e1176a60a016f96d204cfa22711b82ba15c1d8c00de9e6,3129065779168768018,9039453241429588896,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1921,3,0.8600000000000001,1,1.148234502064432,1.148218648349829,1.3998805129726173,0.8965884911562466,8.872087154943031e-07,3.98201353002392e-07,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,111b44a5b3c4fe12b5e1176a60a016f96d204cfa22711b82ba15c1d8c00de9e6,2340177995278146680,1652154869319968992,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__0166,1,0.5,1,1.184185931390053,1.184182662760122,1.3767130575408173,0.9916588052392882,9.953120061467757e-08,4.220978701008349e-07,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,6f327b732d44868de3756855628939b27ae923f881f928bacf8274c70e804444,1310155887453887491,2936313003392162623,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__0166,2,0.74,1,1.2199978904904567,1.2199907914829802,1.424722344798261,1.015273436182652,2.266313345877791e-07,3.99755248903233e-07,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,6f327b732d44868de3756855628939b27ae923f881f928bacf8274c70e804444,69159520493982813,3674015586981901763,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__0166,3,0.8600000000000001,1,1.1910549051677954,1.1910574523029651,1.356565702050056,1.0255441082855348,3.56837838166868e-08,1.7977806876512403e-06,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,6f327b732d44868de3756855628939b27ae923f881f928bacf8274c70e804444,7513426709326279740,9015259230045991695,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1157,1,0.5,1,0.664368904622459,0.6643697469404319,0.8638466871772005,0.4648911220677175,5.307309591806586e-09,1.5998292912655643e-08,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,71d3a860590878f84b6763a0f88b76c83880001c479755ee09732f6f2277ad51,7893406980136072252,2411070906933034,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1157,2,0.74,1,0.912766778073369,0.9127723223437302,1.212886451143648,0.6126471050030902,1.6236958944038093e-07,3.889469724072114e-08,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,71d3a860590878f84b6763a0f88b76c83880001c479755ee09732f6f2277ad51,101994130157543430,2439258757051540214,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1157,3,0.8600000000000001,1,0.9973507232369486,0.997375718475769,1.2624274270866571,0.7322740193872399,4.53251953858036e-07,4.221900662404465e-08,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,71d3a860590878f84b6763a0f88b76c83880001c479755ee09732f6f2277ad51,2930210978251274423,8340260956561053107,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__3249,1,0.5,1,0.5316640919612374,0.5316602007288325,0.7065055652918025,0.3568226186306722,1.2344514077611281e-08,4.708206269299353e-09,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,8580d85e77dfeca5e291bdd428997a3442aa089dde0432383d75ac80ce71cc96,6772890202157824312,1993624324391592781,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__3249,2,0.74,1,0.8473123943448659,0.8473180446043063,1.166357810806626,0.528266977883106,8.715708088580244e-08,7.527446577171305e-08,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,8580d85e77dfeca5e291bdd428997a3442aa089dde0432383d75ac80ce71cc96,419607739921510766,5635960122723008855,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__3249,3,0.8600000000000001,1,0.9867348183369296,0.9867321136594396,1.3033557768654238,0.6701138598084352,2.76965272938412e-07,5.888917287144579e-07,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,8580d85e77dfeca5e291bdd428997a3442aa089dde0432383d75ac80ce71cc96,6240192745455936667,6867204078339360480,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1299,1,0.5,1,1.099583495602046,1.0995862862770531,0.9119223194163214,1.2872446717877706,3.45609586061002e-07,8.629844141516685e-07,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,8b204da152f317ff5af1781337e8908f40af569e9ae75854c7d15c74a93fe1ff,927799304108015319,4006032867221510438,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1299,2,0.74,1,1.1708899156254908,1.1708847513541183,0.97281812335357,1.3689617078974117,7.4358383006512e-08,1.8948125694029368e-06,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,8b204da152f317ff5af1781337e8908f40af569e9ae75854c7d15c74a93fe1ff,5785760851811222845,517641714934731617,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1299,3,0.8600000000000001,1,1.1578704960336297,1.1578772886936182,0.9779369503286894,1.33780404173857,7.389231115872974e-09,6.755968451344074e-08,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,8b204da152f317ff5af1781337e8908f40af569e9ae75854c7d15c74a93fe1ff,7659836402228515430,44928799686993076,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1029,1,0.5,1,0.5268533066216594,0.5268495287026294,0.7088215428971165,0.3448850703462023,3.4347375499343975e-08,5.4160422036098055e-08,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,20546e3bc7a538b0960a30b7e51ed673c4c47ca8c649d915261a8b4f072eb1b0,1997603625895502158,2547808298584113253,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1029,2,0.74,1,0.8344921356466626,0.8344895060479179,1.1714848713011488,0.4974993999921763,4.3345644185066596e-08,4.405549157704414e-07,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,20546e3bc7a538b0960a30b7e51ed673c4c47ca8c649d915261a8b4f072eb1b0,8319176033505019642,7660428559267655477,32,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1029,3,0.8600000000000001,1,0.9731508686801168,0.9731521555324076,1.3174554906271585,0.6288462467330753,9.884691443140525e-08,1.7060721124728673e-07,0a80223fad220ca02860846269aa022da6b51a08db9e848300ca8fa6f827f6c9,6a71e942c68c512ea39091de7a002cc3e582be5f0f9d368e3be38a858db2951c,20546e3bc7a538b0960a30b7e51ed673c4c47ca8c649d915261a8b4f072eb1b0,2149846229017717360,2967397184937985640,32,False
