protocol_id,domain,stem,bridge_time_index,role,pca1,pca2,eigenvalue_1,eigenvalue_2
unsb-sixdomain-expanded-phase-field-v1,RSCityscapes,RSCityscapes__0763,2,Single e4,-0.2777694308826898,-0.0972048236012421,2.116570583524384,0.5797891538375276
unsb-sixdomain-expanded-phase-field-v1,RSCityscapes,RSCityscapes__0763,2,Single e5,-0.2345212044466476,-0.1632509958631526,2.116570583524384,0.5797891538375276
unsb-sixdomain-expanded-phase-field-v1,RSCityscapes,RSCityscapes__0763,2,Single e6,-0.1665735495635124,-0.312529903146953,2.116570583524384,0.5797891538375276
unsb-sixdomain-expanded-phase-field-v1,SnowTrafficData,SnowTrafficData__0264,2,AIO e1,-0.9073046642199945,0.5071119467061069,1.5815138321204492,1.013064331370676
unsb-sixdomain-expanded-phase-field-v1,SnowTrafficData,SnowTrafficData__0264,2,Single e1,0.6853386825422976,0.6380983196677391,1.5815138321204492,1.013064331370676
unsb-sixdomain-expanded-phase-field-v1,SnowTrafficData,SnowTrafficData__0264,2,Single e2,0.1683422676078017,0.008543177717323,1.5815138321204492,1.013064331370676
unsb-sixdomain-expanded-phase-field-v1,SnowTrafficData,SnowTrafficData__0264,2,Single e3,0.105230279441841,-0.3589831168280357,1.5815138321204492,1.013064331370676
unsb-sixdomain-expanded-phase-field-v1,SnowTrafficData,SnowTrafficData__0264,2,Single e4,-0.1651218930161538,-0.3150198287990405,1.5815138321204492,1.013064331370676
unsb-sixdomain-expanded-phase-field-v1,SnowTrafficData,SnowTrafficData__0264,2,Single e5,0.3850123922596481,-0.1875650574053341,1.5815138321204492,1.013064331370676
unsb-sixdomain-expanded-phase-field-v1,SnowTrafficData,SnowTrafficData__0264,2,Single e6,-0.2714970646154396,-0.2921854410587584,1.5815138321204492,1.013064331370676
