protocol_id,domain,stem,bridge_time_index,bridge_time_value,single_epoch,reciprocal_KDD,reciprocal_KDD_M16,aio_anchor_deflection,single_anchor_deflection,proposal_floor,proposal_floor_M16,floor_aio_on_aio,floor_single_on_aio,floor_aio_on_single,floor_single_on_single,aio_checkpoint_sha256,single_checkpoint_sha256,image_sha256,proposal_seed,rollout_seed,M,target_content_read
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__1152,3,0.8600000000000001,4,0.9515333517078927,0.9515390353621829,1.4977606863060502,0.40530601710973513,3.538829186355841e-07,9.033358538967917e-07,3.538829186355841e-07,1.6555201654000484e-10,3.413277060992925e-08,1.2209355748638018e-09,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,d4922025a3fe4829cd8a65039bb9ddf6f856e745a4896179bbff3e46be825848,6346639857026127544,6542035568665143854,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0391,1,0.5,4,0.8853866025244614,0.8854108916410944,0.6218190243130506,1.1489541807358723,1.152930407810615e-07,4.726083591144459e-08,1.152930407810615e-07,3.15822923369069e-11,4.804274444936141e-08,7.600420293130128e-11,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,9e4dcddb538d7e60c352bb0891339ef71cfc159deb22cb31402b670ecee441fd,234188766342512398,9113310093997433349,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0391,2,0.74,4,1.0743929852182892,1.0744321138814623,0.7574975323450787,1.3912884380914998,2.641772858247293e-07,1.8832482939767914e-07,2.641772858247293e-07,3.6782310530725226e-10,3.1701113289983596e-08,2.2396183796402624e-09,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,9e4dcddb538d7e60c352bb0891339ef71cfc159deb22cb31402b670ecee441fd,3046294757029023442,37473218017448249,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0391,3,0.8600000000000001,4,1.1325486371636022,1.1326057939660938,0.8480067410015742,1.41709053332563,3.365076306494075e-08,9.062963288730685e-07,3.365076306494075e-08,1.846545139017053e-11,1.5946102216446434e-09,2.580364810711444e-10,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,9e4dcddb538d7e60c352bb0891339ef71cfc159deb22cb31402b670ecee441fd,9083884766215642006,6193103494985055874,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0410,1,0.5,4,0.9577639828726123,0.9577533981416331,1.0385699179226677,0.8769580478225568,4.3119983139661144e-09,3.436577915572059e-07,4.592686231319476e-10,1.5476688819404671e-09,1.7151879916355028e-10,4.3119983139661144e-09,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,463d9af7368f4d25667abfa5327f5e5483bc3d3148d088b01c071fdd974c909d,7177132053197325795,5611909173644642827,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0410,2,0.74,4,1.1192973445405432,1.1192883802460258,1.2089519771660489,1.0296427119150375,1.4597074526889742e-07,4.339130537100999e-07,1.4597074526889742e-07,2.7405455682583124e-10,2.047453206976968e-08,2.3658908165913317e-09,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,463d9af7368f4d25667abfa5327f5e5483bc3d3148d088b01c071fdd974c909d,3919638619018594868,547546497195833195,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0410,3,0.8600000000000001,4,1.1408342238242672,1.1408267799930005,1.2109398583328925,1.070728589315642,4.68823589838685e-07,2.330479831336163e-08,4.68823589838685e-07,2.5072388609714835e-11,3.1608551220863035e-08,5.257067003938687e-10,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,463d9af7368f4d25667abfa5327f5e5483bc3d3148d088b01c071fdd974c909d,3345355530015299503,7272775751395883659,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0217,1,0.5,4,0.44876793087165046,0.44876675628151613,0.6497336054871536,0.24780225625614727,3.754601740624253e-09,6.4696477064529745e-09,3.754601740624253e-09,1.1105005803813128e-10,1.892260126368228e-09,9.761058628043884e-11,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,6d158ff67ffa77b2e0fe469992417454e1202601d9b5e123672c849e75c441ad,407388817201914932,8718431940322584059,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0217,2,0.74,4,0.8313691203940878,0.8313624416382659,1.2930221364371826,0.3697161043509931,3.3154514689215375e-09,1.8641481536185722e-07,2.8537616714174874e-11,1.2147229888626043e-09,5.886624521167505e-12,3.3154514689215375e-09,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,6d158ff67ffa77b2e0fe469992417454e1202601d9b5e123672c849e75c441ad,2493357188823729043,6142009355388892630,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0217,3,0.8600000000000001,4,0.9818116573569637,0.9818151027836836,1.4968209858946775,0.4668023288192501,2.2511282504744656e-08,7.358823239655976e-08,2.2511282504744656e-08,9.743672535478254e-11,1.9912527182697204e-09,9.001193124191786e-10,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,c02c6329c74f002f196fa2a2238700389c5a192abbe7aff3afa64d7f3c788efc,6d158ff67ffa77b2e0fe469992417454e1202601d9b5e123672c849e75c441ad,4474505236012180184,1595365199480593265,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__1012,1,0.5,5,0.40370611915629895,0.4036939436866928,0.5229840261305088,0.28442821218208914,2.5172452344790486e-08,2.6303236544400477e-07,2.5172452344790486e-08,6.130752683297658e-09,1.4392241620697632e-08,6.572421940020945e-09,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,866444a2eff366b308994ee945c5f99ff98bba671982602458d1e18e9ec00a6e,7c853ab6863dd6ba044c0a99bcfdc55dcb8373f7e693d182d1090b1d5fe4582e,7038652132692344501,2753888841021282063,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__1012,2,0.74,5,0.7570076633622278,0.7570773120716741,1.060913521017486,0.45310180570696956,1.0373332378632583e-06,9.582825872822553e-07,4.834760969352203e-08,4.0534219580834474e-07,1.281289629950777e-08,1.0373332378632583e-06,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,866444a2eff366b308994ee945c5f99ff98bba671982602458d1e18e9ec00a6e,7c853ab6863dd6ba044c0a99bcfdc55dcb8373f7e693d182d1090b1d5fe4582e,4646672131222122228,4522290809396335170,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__1012,3,0.8600000000000001,5,0.9442736055103772,0.944288923719075,1.3093566046912668,0.5791906063294876,4.294691746897783e-06,3.3557363485758884e-06,6.454892995666484e-07,5.430317526755601e-07,7.719228733993333e-08,4.294691746897783e-06,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,866444a2eff366b308994ee945c5f99ff98bba671982602458d1e18e9ec00a6e,7c853ab6863dd6ba044c0a99bcfdc55dcb8373f7e693d182d1090b1d5fe4582e,1790958141199696704,7700042546758415623,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0170,1,0.5,5,0.5793096437383676,0.5793047822742088,0.37171428888895197,0.7869049985877832,1.1335716942895147e-07,2.0822725466107528e-07,5.444299921997242e-08,5.5442638702274394e-08,4.299985745248591e-08,1.1335716942895147e-07,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,866444a2eff366b308994ee945c5f99ff98bba671982602458d1e18e9ec00a6e,b3881cf86f94eaab59f468a3294879ca2811eddb77fed7553bb54e65e8be5b83,4192995597129810743,7909332700483293616,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0170,2,0.74,5,0.9002710514153109,0.9002717178113221,0.5483579020213238,1.252184200809298,3.312475847616625e-06,1.1233000896115897e-06,2.0614863149859275e-08,6.939619934254182e-07,5.338565145507346e-09,3.312475847616625e-06,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,866444a2eff366b308994ee945c5f99ff98bba671982602458d1e18e9ec00a6e,b3881cf86f94eaab59f468a3294879ca2811eddb77fed7553bb54e65e8be5b83,1134707994256330540,7727840429452496988,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0170,3,0.8600000000000001,5,1.0367640056323972,1.0368243294590296,0.6976844538375984,1.375843557427196,5.227018512243831e-06,6.018480567693274e-06,4.610269577209891e-07,4.743272686846822e-07,4.316829316231008e-08,5.227018512243831e-06,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,866444a2eff366b308994ee945c5f99ff98bba671982602458d1e18e9ec00a6e,b3881cf86f94eaab59f468a3294879ca2811eddb77fed7553bb54e65e8be5b83,3075009728877431268,5134126649484430208,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0726,1,0.5,5,0.3734400906660263,0.3734184529414804,0.5298745707564688,0.21700561057558376,2.4840706602802243e-07,3.604400100609695e-08,3.44255091100365e-09,2.4840706602802243e-07,1.9250502303336248e-09,2.2083978012954475e-07,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,866444a2eff366b308994ee945c5f99ff98bba671982602458d1e18e9ec00a6e,921c7bed999a9a55d22ed3802b1c4dfbf479def32a00339aebe66cdb5273d19f,2035778708799208086,1470931270933712624,32,False
unsb-reciprocal-bridge-kernel-deflection-v1,SnowTrafficData,SnowTrafficData__0726,2,0.74,5,0.7610976796403874,0.761109058891256,1.1688504579208288,0.3533449013599461,5.073946596212409e-09,3.2629647955806362e-06,4.682285670298825e-09,2.2012014433414606e-09,1.1956847734140297e-09,5.073946596212409e-09,2482de48d80db365a9509d90d89eae80a34468ddc892e1ef76a9b6fa936c932d,866444a2eff366b308994ee945c5f99ff98bba671982602458d1e18e9ec00a6e,921c7bed999a9a55d22ed3802b1c4dfbf479def32a00339aebe66cdb5273d19f,4097011701351110137,8009497521105380603,32,False
