protocol_id,domain,stem,bridge_time_index,bridge_time_value,best_single_epoch,min_reciprocal_KDD,clock_matched_KDD_e6,max_proposal_floor,single_age_span,primary_reference,log10_deflection_excess,above_reference,image_sha256,target_content_read
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1157,3,0.8600000000000001,4,0.5800743309572358,0.7471029672055494,4.53251953858036e-07,1.0187793292809886,1.0187793292809886,-0.2445964768815374,False,71d3a860590878f84b6763a0f88b76c83880001c479755ee09732f6f2277ad51,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__3249,1,0.5,4,0.1474094110985802,0.2630028895087478,1.2344514077611281e-08,0.5817920644856883,0.5817920644856883,-0.5962425820818595,False,8580d85e77dfeca5e291bdd428997a3442aa089dde0432383d75ac80ce71cc96,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__3249,2,0.74,4,0.3561035413860378,0.5433885796551603,8.715708088580244e-08,0.9059320762832778,0.9059320762832778,-0.4055193442916598,False,8580d85e77dfeca5e291bdd428997a3442aa089dde0432383d75ac80ce71cc96,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__3249,3,0.8600000000000001,4,0.5636783912233548,0.7427328244394784,2.76965272938412e-07,0.9585378879019212,0.9585378879019212,-0.2305778974761916,False,8580d85e77dfeca5e291bdd428997a3442aa089dde0432383d75ac80ce71cc96,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1299,1,0.5,4,0.7432121767155785,0.99636954461112,3.45609586061002e-07,1.0432622141811128,1.0432622141811128,-0.1472806615123894,False,8b204da152f317ff5af1781337e8908f40af569e9ae75854c7d15c74a93fe1ff,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1299,2,0.74,4,0.8527845244846718,1.0378712816234803,1.4014366744863338e-07,1.0149461684595151,1.0149461684595151,-0.0756036978015421,False,8b204da152f317ff5af1781337e8908f40af569e9ae75854c7d15c74a93fe1ff,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1299,3,0.8600000000000001,4,0.8918892788973583,1.027918443215665,5.220059662303101e-08,0.9829753774145602,0.9829753774145602,-0.0422316958630018,False,8b204da152f317ff5af1781337e8908f40af569e9ae75854c7d15c74a93fe1ff,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1029,1,0.5,4,0.1325669241265795,0.2483882979392395,3.6836003469709055e-08,0.5891338601618066,0.5891338601618066,-0.6477788045839804,False,20546e3bc7a538b0960a30b7e51ed673c4c47ca8c649d915261a8b4f072eb1b0,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1029,2,0.74,4,0.3343268559376411,0.5304070662122606,4.3345644185066596e-08,0.926646819876836,0.926646819876836,-0.4427429754699534,False,20546e3bc7a538b0960a30b7e51ed673c4c47ca8c649d915261a8b4f072eb1b0,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__1029,3,0.8600000000000001,4,0.5490917465784337,0.7418089895161368,4.253685361721438e-07,0.9934900510905996,0.9934900510905996,-0.2575186065391137,False,20546e3bc7a538b0960a30b7e51ed673c4c47ca8c649d915261a8b4f072eb1b0,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__2920,1,0.5,4,0.6535291527902547,0.8868389945184958,3.712625185059437e-08,1.2267549055270406,1.2267549055270406,-0.2734928378411885,False,8bfaad948dc0f8f40c074be4299f405635a8de7b1d3159ad7959916c1f28d206,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__2920,2,0.74,4,0.8060927272813638,1.0090128951673571,4.071097782221145e-07,1.1445813839920909,1.1445813839920909,-0.152261675175867,False,8bfaad948dc0f8f40c074be4299f405635a8de7b1d3159ad7959916c1f28d206,False
unsb-sixdomain-expanded-phase-field-v1,FoggyCityscapes,FoggyCityscapes__2920,3,0.8600000000000001,4,0.8510834555378373,1.0220034811901426,2.161548725232443e-06,1.0805277163609148,1.0805277163609148,-0.1036637631279548,False,8bfaad948dc0f8f40c074be4299f405635a8de7b1d3159ad7959916c1f28d206,False
