dataset,filename,psnr,ssim,lpips,niqe
FoggyCityscapes,FoggyCityscapes__4536.png,15.391990264872677,0.5804023742675781,0.29393601417541504,5.568811474354487
FoggyCityscapes,FoggyCityscapes__4537.png,19.456501536922996,0.6816236972808838,0.16634565591812134,5.948610918990665
FoggyCityscapes,FoggyCityscapes__4538.png,11.090880444532413,0.4020090003808339,0.5227501392364502,7.4323823874829955
FoggyCityscapes,FoggyCityscapes__4539.png,22.850786321319163,0.7269274791081747,0.1285751312971115,6.110171826937356
FoggyCityscapes,FoggyCityscapes__4540.png,19.602187999847153,0.6626235644022623,0.25186923146247864,5.713088745382542
FoggyCityscapes,FoggyCityscapes__4541.png,10.939782832521864,0.44644491871198017,0.42736220359802246,6.713462188787197
FoggyCityscapes,FoggyCityscapes__4542.png,11.497365599907472,0.4800553818543752,0.3975095748901367,6.181127831548462
FoggyCityscapes,FoggyCityscapes__4543.png,18.916683963818123,0.6419035196304321,0.2476232647895813,5.648459716676339
FoggyCityscapes,FoggyCityscapes__4544.png,21.904284502706446,0.6938525636990865,0.16586105525493622,7.705220234429912
FoggyCityscapes,FoggyCityscapes__4545.png,18.750117184521773,0.688767671585083,0.19961205124855042,5.113455968246124
FoggyCityscapes,FoggyCityscapes__4546.png,18.65885872960684,0.6501374046007792,0.24346360564231873,7.78539452271992
FoggyCityscapes,FoggyCityscapes__4547.png,18.28893712914101,0.657695452372233,0.21813564002513885,7.367475921962512
FoggyCityscapes,FoggyCityscapes__4548.png,19.781597313662854,0.6913526654243469,0.1686120480298996,5.184321072334245
FoggyCityscapes,FoggyCityscapes__4549.png,19.809599676403764,0.7220715483029684,0.15261396765708923,6.859899876677971
FoggyCityscapes,FoggyCityscapes__4550.png,10.640174730421457,0.3810662825902303,0.45829108357429504,6.970821825513299
FoggyCityscapes,FoggyCityscapes__4551.png,20.909917733935437,0.7050174673398336,0.1778392791748047,5.773324842514084
FoggyCityscapes,FoggyCityscapes__4552.png,11.94051422864546,0.4933384954929352,0.3959696888923645,6.376517369704466
FoggyCityscapes,FoggyCityscapes__4553.png,10.491341964636355,0.4208189845085144,0.3910413384437561,6.248755392586329
FoggyCityscapes,FoggyCityscapes__4554.png,20.29936198111773,0.6930599610010783,0.18901531398296356,5.902586639983963
FoggyCityscapes,FoggyCityscapes__4555.png,17.004705921281182,0.6755514144897461,0.200888991355896,6.9462911960944735
FoggyCityscapes,FoggyCityscapes__4556.png,11.45465956885297,0.43127073844273883,0.4312131404876709,7.193314634018253
FoggyCityscapes,FoggyCityscapes__4557.png,11.036978363098326,0.40277161200841266,0.3876064121723175,6.679371489612246
FoggyCityscapes,FoggyCityscapes__4558.png,18.998840229063795,0.6362332900365194,0.16434893012046814,5.90534838241028
FoggyCityscapes,FoggyCityscapes__4559.png,15.625421697424308,0.6602944731712341,0.21790702641010284,5.8517917346040775
FoggyCityscapes,FoggyCityscapes__4560.png,21.301833976610858,0.7043952941894531,0.16862745583057404,6.382888168519571
FoggyCityscapes,FoggyCityscapes__4561.png,17.175518362577208,0.6428638696670532,0.20914247632026672,7.170197630372966
FoggyCityscapes,FoggyCityscapes__4562.png,21.314581728930662,0.7033681273460388,0.16543394327163696,6.758913650254342
FoggyCityscapes,FoggyCityscapes__4563.png,20.73374469692802,0.6949896216392517,0.18090707063674927,6.149985589925254
FoggyCityscapes,FoggyCityscapes__4564.png,16.861410177927397,0.6314143141110738,0.23292696475982666,6.554732757363161
FoggyCityscapes,FoggyCityscapes__4565.png,15.781031186765592,0.6081629991531372,0.23163795471191406,7.196996059107209
FoggyCityscapes,FoggyCityscapes__4566.png,10.892470214313521,0.42603211601575214,0.44895073771476746,8.124316632981596
FoggyCityscapes,FoggyCityscapes__4567.png,20.812370753972488,0.7029505769411722,0.13446952402591705,6.115036540628306
FoggyCityscapes,FoggyCityscapes__4568.png,21.49954323593942,0.6896081368128458,0.21278047561645508,6.005594350336844
FoggyCityscapes,FoggyCityscapes__4569.png,20.74165208163179,0.6868555545806885,0.17255061864852905,7.325206113640889
FoggyCityscapes,FoggyCityscapes__4570.png,18.976585871620987,0.689287801583608,0.23707149922847748,7.232233688779044
FoggyCityscapes,FoggyCityscapes__4571.png,21.604457778478128,0.6956939895947775,0.1760195791721344,6.8887044089801
FoggyCityscapes,FoggyCityscapes__4572.png,22.62608565837434,0.7372999787330627,0.20417821407318115,6.407186466024933
FoggyCityscapes,FoggyCityscapes__4573.png,20.669285447205183,0.7062434355417887,0.15282753109931946,7.0475921694342185
FoggyCityscapes,FoggyCityscapes__4574.png,20.754548729259042,0.6564472913742065,0.22437433898448944,7.571780435620839
FoggyCityscapes,FoggyCityscapes__4575.png,7.924124466579904,0.2511066099007924,0.6132408976554871,9.9761007317433
LowLightTrafficData,LowLightTrafficData__697.png,16.486541351134022,0.4300486346085866,0.32578980922698975,4.468431067274469
LowLightTrafficData,LowLightTrafficData__698.png,13.858330421025864,0.42899378140767414,0.36354750394821167,7.352746439826611
LowLightTrafficData,LowLightTrafficData__699.png,13.622316231312073,0.4129585524400075,0.5237553119659424,8.82203475370855
LowLightTrafficData,LowLightTrafficData__700.png,14.417394138242887,0.37873899936676025,0.32733380794525146,5.9575907004199005
LowLightTrafficData,LowLightTrafficData__701.png,11.551484069970645,0.4832931061585744,0.4101089835166931,6.756068180869267
LowLightTrafficData,LowLightTrafficData__702.png,10.755064815075617,0.3826894859472911,0.4325447082519531,10.42529237813214
LowLightTrafficData,LowLightTrafficData__703.png,8.683046875244354,0.32402103145917255,0.6727462410926819,9.93948125986334
LowLightTrafficData,LowLightTrafficData__704.png,8.784688557101246,0.20679157972335815,0.5846765041351318,11.137156601124069
LowLightTrafficData,LowLightTrafficData__705.png,15.753248207718315,0.43666595220565796,0.35934269428253174,4.895901956077339
LowLightTrafficData,LowLightTrafficData__706.png,12.425468709220425,0.2745462457338969,0.5408056378364563,7.185005663712965
LowLightTrafficData,LowLightTrafficData__707.png,14.609778544327249,0.31459856033325195,0.4970722496509552,8.067198149892615
LowLightTrafficData,LowLightTrafficData__708.png,14.63751730067392,0.4722130099932353,0.36353740096092224,7.634659843642337
LowLightTrafficData,LowLightTrafficData__709.png,14.759815943294893,0.4015567898750305,0.3546265959739685,6.689221496890145
LowLightTrafficData,LowLightTrafficData__710.png,9.855558577039737,0.3355751534303029,0.48304951190948486,9.37767885389729
LowLightTrafficData,LowLightTrafficData__711.png,8.305067047479582,0.27946293354034424,0.5849693417549133,6.465966171529885
LowLightTrafficData,LowLightTrafficData__712.png,11.054788574067222,0.301659752925237,0.5107738971710205,5.82283073268791
LowLightTrafficData,LowLightTrafficData__713.png,10.695489141421703,0.20701149106025696,0.6326325535774231,12.000958578819086
LowLightTrafficData,LowLightTrafficData__714.png,16.01433672688988,0.46517173449198407,0.3086886405944824,11.056509258479878
LowLightTrafficData,LowLightTrafficData__715.png,16.64546442734775,0.49819575746854144,0.40141764283180237,8.987278379821303
LowLightTrafficData,LowLightTrafficData__716.png,15.258588860470518,0.419018675883611,0.49662622809410095,5.239184072261535
LowLightTrafficData,LowLightTrafficData__717.png,15.285622675259976,0.5310226480166117,0.31416940689086914,13.438696819697611
LowLightTrafficData,LowLightTrafficData__718.png,11.160734073489667,0.2668984532356262,0.4754102826118469,6.7054941729802415
LowLightTrafficData,LowLightTrafficData__719.png,8.647326740987555,0.24887748559316,0.6712880730628967,13.442343098429255
LowLightTrafficData,LowLightTrafficData__720.png,17.65512220569323,0.41074273983637494,0.46426060795783997,7.580105258238187
LowLightTrafficData,LowLightTrafficData__721.png,10.755446384566609,0.31744252641995746,0.4747154116630554,9.805334959980168
LowLightTrafficData,LowLightTrafficData__722.png,16.889439905957204,0.47597260276476544,0.4153802990913391,5.6548373700631025
LowLightTrafficData,LowLightTrafficData__723.png,8.685492342854396,0.22148385643959045,0.5995591878890991,9.111907689785514
LowLightTrafficData,LowLightTrafficData__724.png,16.739859377579336,0.4987938006718953,0.2801823318004608,7.1440944644574325
LowLightTrafficData,LowLightTrafficData__725.png,11.702796935720665,0.38917380571365356,0.4479460120201111,5.797884957267261
LowLightTrafficData,LowLightTrafficData__726.png,10.916376758901185,0.38728711009025574,0.44634053111076355,7.481315868593722
LowLightTrafficData,LowLightTrafficData__727.png,13.618457286279497,0.3720434010028839,0.46397775411605835,5.247735570548112
LowLightTrafficData,LowLightTrafficData__728.png,13.072398238135172,0.3028286000092824,0.5825362205505371,8.477126512357128
