dataset,filename,psnr,ssim,lpips,niqe
FoggyCityscapes,FoggyCityscapes__4536.png,9.50797131748547,0.463523268699646,0.4613147974014282,4.747487158736135
FoggyCityscapes,FoggyCityscapes__4537.png,20.693078920526347,0.7083247502644857,0.15156106650829315,6.532700548749722
FoggyCityscapes,FoggyCityscapes__4538.png,7.862088348825557,0.4134909510612488,0.602874755859375,6.763353986906498
FoggyCityscapes,FoggyCityscapes__4539.png,21.929537910285582,0.7497893770535787,0.1534242331981659,8.48155598764362
FoggyCityscapes,FoggyCityscapes__4540.png,12.765363647505986,0.6184383829434713,0.28026700019836426,4.67450902942331
FoggyCityscapes,FoggyCityscapes__4541.png,7.282700347516554,0.3161514500776927,0.5652111768722534,5.003285039900381
FoggyCityscapes,FoggyCityscapes__4542.png,10.187668234519055,0.4818994502226512,0.4443158805370331,5.094995870025153
FoggyCityscapes,FoggyCityscapes__4543.png,13.268829578045697,0.5830377538998922,0.3529514670372009,5.184712788270109
FoggyCityscapes,FoggyCityscapes__4544.png,23.441464195100366,0.7606223622957865,0.1674012839794159,7.933710241797505
FoggyCityscapes,FoggyCityscapes__4545.png,19.523495327402696,0.7149566213289896,0.21143876016139984,6.871082371990286
FoggyCityscapes,FoggyCityscapes__4546.png,7.315756192614044,0.3932602107524872,0.5999429821968079,5.0715205677118815
FoggyCityscapes,FoggyCityscapes__4547.png,19.677940778264944,0.7191146810849508,0.18311507999897003,5.840355652580331
FoggyCityscapes,FoggyCityscapes__4548.png,20.645424520291897,0.7409335573514303,0.18598322570323944,7.22759152295739
FoggyCityscapes,FoggyCityscapes__4549.png,20.60790665221321,0.7398622433344523,0.19747503101825714,6.6026521272369525
FoggyCityscapes,FoggyCityscapes__4550.png,8.734165069736251,0.48518537481625873,0.4603661298751831,4.9673777831406385
FoggyCityscapes,FoggyCityscapes__4551.png,20.59698729969596,0.7657569448153178,0.17575690150260925,6.787090370918158
FoggyCityscapes,FoggyCityscapes__4552.png,8.28966845601739,0.4429722825686137,0.5099155902862549,5.970036308859575
FoggyCityscapes,FoggyCityscapes__4553.png,10.314990187642117,0.4904791017373403,0.44151541590690613,5.6126210531857295
FoggyCityscapes,FoggyCityscapes__4554.png,11.91132104626918,0.520196775595347,0.3016699254512787,4.5165491743546555
FoggyCityscapes,FoggyCityscapes__4555.png,18.071404728654475,0.6958512266476949,0.2251112163066864,9.042548838210404
FoggyCityscapes,FoggyCityscapes__4556.png,8.348529474982456,0.4628460804621379,0.44595766067504883,5.435684223192057
FoggyCityscapes,FoggyCityscapes__4557.png,8.375099207664649,0.41643210252126056,0.4882514476776123,8.27332556670912
FoggyCityscapes,FoggyCityscapes__4558.png,9.538506465265247,0.5110140840212504,0.4418773651123047,6.999216218257744
FoggyCityscapes,FoggyCityscapes__4559.png,18.66713952129006,0.6764866312344869,0.24412330985069275,9.660053203298704
FoggyCityscapes,FoggyCityscapes__4560.png,20.500015466030682,0.7269710103670756,0.2148672640323639,7.22414040231655
FoggyCityscapes,FoggyCityscapes__4561.png,18.229880788680845,0.7067225972811381,0.23131246864795685,4.613707596044885
FoggyCityscapes,FoggyCityscapes__4562.png,20.436471858651103,0.6917753219604492,0.20496825873851776,9.23426009818337
FoggyCityscapes,FoggyCityscapes__4563.png,10.868619455607917,0.5834649801254272,0.3373768925666809,6.9619515685009095
FoggyCityscapes,FoggyCityscapes__4564.png,22.06383054014266,0.7619749506314596,0.17287921905517578,10.409356576945422
FoggyCityscapes,FoggyCityscapes__4565.png,18.41648273230428,0.6728182633717855,0.23610274493694305,8.59783946073548
FoggyCityscapes,FoggyCityscapes__4566.png,9.080485316576928,0.4588180383046468,0.47603219747543335,7.831622799838327
FoggyCityscapes,FoggyCityscapes__4567.png,20.936251204730812,0.7251673738161722,0.21237504482269287,6.754534557254244
FoggyCityscapes,FoggyCityscapes__4568.png,19.009449392259498,0.705109159151713,0.19838941097259521,5.13491645719025
FoggyCityscapes,FoggyCityscapes__4569.png,19.769947098611286,0.6939213474591573,0.2228425145149231,11.74221861221
FoggyCityscapes,FoggyCityscapes__4570.png,17.84250690881748,0.7049291729927063,0.22636622190475464,9.10850518515827
FoggyCityscapes,FoggyCityscapes__4571.png,17.68564180206541,0.6661085287729899,0.30431362986564636,8.020537480969143
FoggyCityscapes,FoggyCityscapes__4572.png,22.380285149806404,0.7526138623555502,0.231044203042984,8.095885052749376
FoggyCityscapes,FoggyCityscapes__4573.png,16.329289753221357,0.698903222878774,0.22749219834804535,6.326549375072249
FoggyCityscapes,FoggyCityscapes__4574.png,8.572248086237252,0.44395233194033307,0.43042558431625366,5.150485513270048
FoggyCityscapes,FoggyCityscapes__4575.png,7.012957262760219,0.3777271608511607,0.5553230047225952,5.849075201998901
LowLightTrafficData,LowLightTrafficData__697.png,14.588592381585821,0.4005502661069234,0.48751863837242126,6.452384905278186
LowLightTrafficData,LowLightTrafficData__698.png,12.176234345476063,0.3464918335278829,0.4518064856529236,6.069490795403088
LowLightTrafficData,LowLightTrafficData__699.png,12.1650226867148,0.3777830898761749,0.6526132822036743,14.015784787369837
LowLightTrafficData,LowLightTrafficData__700.png,12.61946291027401,0.3795008063316345,0.4469635486602783,6.297321228628833
